fid,nome,geometriaaproximada,geocodigo,anodereferencia
678,São José do Cerrito,Não,"4216800",
679,Correia Pinto,Não,"4204558",
680,Ponte Alta,Não,"4213302",
681,Aratiba,Não,"4300901",
682,São Valentim,Não,"4319703",
683,Benjamin Constant do Sul,Não,"4302055",
684,Poço Verde,Não,"2805505",
685,Bom Conselho,Não,"2602100",
686,Feira da Mata,Não,"2910776",
687,Entre Rios,Não,"2910503",
688,Sucupira do Norte,Não,"2111904",
689,Adustina,Não,"2900355",
690,São Miguel dos Milagres,Não,"2708709",
691,Lagoa do Tocantins,Não,"1711951",
692,Vidal Ramos,Não,"4219200",
693,Curuá,Não,"1502855",
694,Lagoa dos Patos,Não,"3137304",
695,Castanheira,Não,"5102850",
696,Monte Santo,Não,"2921500",
697,Amparo do São Francisco,Não,"2800100",
698,Ponte Alta do Tocantins,Não,"1717909",
699,Euclides da Cunha,Não,"2910701",
700,Banzaê,Não,"2902658",
701,Monte do Carmo,Não,"1713601",
702,Parnaguá,Não,"2207603",
703,Cícero Dantas,Não,"2907806",
704,Terra Nova do Norte,Não,"5108055",
705,Montes Altos,Não,"2107001",
706,Juruena,Não,"5105176",
707,Capixaba,Não,"1200179",
708,Peixoto de Azevedo,Não,"5106422",
709,Lima Campos,Não,"2106003",
710,Buriti,Não,"2102200",
711,Nina Rodrigues,Não,"2107209",
712,Itapecuru Mirim,Não,"2105401",
713,Amarante do Maranhão,Não,"2100600",
714,Redentora,Não,"4315404",
715,Seberi,Não,"4320206",
716,Viadutos,Não,"4322905",
717,Itatiba do Sul,Não,"4310702",
718,Campos Novos,Não,"4203600",
719,Entre Rios do Sul,Não,"4306957",
720,Erval Grande,Não,"4307203",
721,Palmeira,Não,"4212056",
722,Curitibanos,Não,"4204806",
723,Otacílio Costa,Não,"4211751",
724,Tiradentes do Sul,Não,"4321477",
725,Erval Seco,Não,"4307302",
726,Faxinalzinho,Não,"4308052",
727,Rio Largo,Não,"2707701",
728,Formosa do Sul,Não,"4205431",
729,Itaguaçu da Bahia,Não,"2915353",
730,Nova Rosalândia,Não,"1715002",
731,Barra do Choça,Não,"2902906",
732,Pérola d'Oeste,Não,"4119004",
733,Suzano,Não,"3552502",
734,Tucano,Não,"2931905",
735,Santa Cruz Cabrália,Não,"2927705",
736,Alto Alegre,Não,"1400050",
